2	-3166	772	2627
3	-656	436	26
1	-1818	-1093	236
2	-1697	1559	564
3	-656	436	26
1	-1818	-1093	236
2	-1697	1559	564
3	-656	436	26
1	520	-292	-81
2	796	960	-126
3	1612	-746	-289
1	520	-292	-81
2	796	960	-126
3	1612	-746	-289
1	1405	381	-1358
2	1678	-255	-1039
3	-328	-243	-76
1	1405	381	-1358
2	1678	-255	-1039
3	-328	-243	-76
1	1298	475	-1728
2	1712	-658	-1699
3	-2537	1290	213
1	1298	475	-1728
2	1712	-658	-1699
3	-2537	1290	213
1	1411	565	-848
2	1916	-330	-655
3	-1956	1014	182
1	1411	565	-848
2	1916	-330	-655
3	-1956	1014	182
1	1377	1094	-768
2	1796	-253	-811
3	-149	111	13
1	1377	1094	-768
2	1796	-253	-811
3	-149	111	13
1	1033	742	-1349
2	1548	-252	-710
3	770	97	110
1	1033	742	-1349
2	1548	-252	-710
3	770	97	110
1	-730	-116	-304
2	-440	-12	256
3	1513	-24	-55
1	-730	-116	-304
2	-440	-12	256
3	1513	-24	-55
1	-730	-116	-304
2	-440	-12	256
3	2868	-731	-458
1	-2575	-1023	2320
2	-2680	105	2076
3	2868	-731	-458
1	-2575	-1023	2320
2	-2680	105	2076
3	-934	250	234
1	-3071	-1204	2828
2	-3077	852	2639
3	-934	250	234
1	-3071	-1204	2828
2	-3077	852	2639
3	-802	563	202
1	-2010	-1038	414
2	-1980	1216	1126
3	-802	563	202
1	-2010	-1038	414
2	-1980	1216	1126
3	-802	563	202
1	-63	219	-189
2	459	684	196
3	1784	-763	-260
1	-63	219	-189
2	459	684	196
3	1784	-763	-260
