-52,218,3,305,176,224,587,510,167
-74,293,14,359,111,267,669,284,388
-74,293,14,359,111,267,557,45,527
-1,298,-28,310,29,283,557,45,527
76,214,-67,207,-3,224,332,-203,673
76,214,-67,107,-58,135,125,-500,794
154,40,-73,107,-58,135,125,-500,794
221,-49,-66,13,-54,144,44,-832,774
188,-59,-90,-32,-8,196,55,-1126,624
188,-59,-90,-32,-8,196,-10,-1194,442
130,4,-98,-80,67,365,-10,-1194,442
118,77,-108,2,162,486,44,-1191,236
118,77,-108,2,162,486,175,-1203,57
101,156,-82,62,162,528,175,-1203,57
96,219,-58,108,102,354,245,-1145,-45
130,202,-15,80,57,282,163,-1028,-51
130,202,-15,80,57,282,162,-961,-40
101,189,53,42,82,218,162,-961,-40
77,129,114,31,-22,162,167,-968,-6
77,129,114,31,-22,162,194,-1011,-2
29,107,118,79,-88,77,194,-1011,-2
22,58,104,86,-122,37,172,-903,53
26,26,75,87,-66,38,242,-878,85
26,26,75,87,-66,38,335,-876,111
0,-9,79,-6,0,110,335,-876,111
47,-22,36,5,22,137,362,-815,136
47,-22,36,5,22,137,399,-822,109
50,25,-23,76,94,149,399,-822,109
69,75,-88,121,110,192,475,-835,107
69,75,-88,116,89,204,461,-863,97
82,89,-142,116,89,204,461,-863,97
-8,76,-97,37,63,226,410,-863,103
-56,52,-72,41,9,228,442,-878,111
-56,52,-72,41,9,228,391,-864,104
30,14,-105,70,2,178,391,-864,104
74,-31,-154,42,20,145,351,-874,121
74,-31,-154,42,20,145,422,-908,123
71,-71,-153,42,39,123,422,-908,123
80,-11,-132,103,-6,113,372,-872,142
6,11,-53,124,-37,102,224,-881,226
6,11,-53,124,-37,102,118,-784,320
-37,-33,12,114,-34,84,118,-784,320
89,-74,32,44,-60,79,139,-641,368
89,-74,32,44,-60,79,101,-575,342
190,-163,12,-6,-100,55,101,-575,342
163,-173,44,-38,-102,28,160,-570,283
108,-151,54,-51,-79,34,180,-498,223
108,-151,54,-51,-79,34,112,-341,164
108,-126,54,-41,-71,51,112,-341,164
134,-175,12,-44,-74,72,104,-133,104
134,-175,12,-44,-74,72,54,39,14
160,-18,-95,-85,-64,78,54,39,14
180,-248,50,-44,-104,74,-33,95,-86
180,-248,50,-44,-104,74,-41,153,-179
143,-382,176,-20,-167,63,-41,153,-179
83,-290,100,15,-206,101,-28,220,-250
97,-242,15,33,-212,127,-32,250,-292
97,-242,15,33,-212,127,-12,311,-327
106,-267,-16,32,-224,173,-12,311,-327
77,-237,-55,45,-209,188,-24,310,-342
77,-237,-55,45,-209,188,-15,280,-354
55,-242,-43,55,-190,192,-15,280,-354
42,-238,22,87,-181,197,66,318,-340
71,-230,-13,128,-150,179,-47,306,-306
71,-230,-13,128,-150,179,-142,176,-252
47,-215,-83,139,-122,177,-142,176,-252
49,-148,-84,112,-130,152,-169,85,-182
49,-148,-84,112,-130,152,-273,6,-111
29,-117,-44,51,-92,131,-273,6,-111
21,-127,-54,23,-86,91,-350,-43,-54
14,-103,-13,34,-97,40,-428,-121,0
14,-103,-13,34,-97,40,-418,-202,37
0,-130,20,5,-72,48,-418,-202,37
25,-210,36,-32,-101,80,-254,-164,26
25,-210,36,-32,-101,80,-170,-93,-3
3,-120,1,-126,-22,119,-170,-93,-3
8,-79,-28,-125,-12,126,-223,-75,-22
