acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
-206,-244,-76,-48,51,-213,-233,1319,-83,263,75
-281,-225,-171,-183,-84,-37,-96,1206,-52,263,125
-579,-121,-405,-278,-235,171,-285,1074,40,263,-144
-350,-347,-798,-97,-73,101,-292,974,117,263,-94
-402,-396,-998,-229,-18,85,-305,408,-185,263,-44
-429,-347,-845,-284,101,0,-15,-185,-216,263,5
-393,-327,-656,-138,212,-119,124,-654,-201,263,55
-293,-274,-593,-2,216,-181,233,-828,-189,263,105
-159,-115,-397,11,126,-96,420,-1295,-88,263,155
-93,12,-278,22,52,-31,402,-1637,-89,263,-114
-220,300,69,-325,-168,148,118,-1793,-275,263,-64
67,440,337,-452,-154,132,-383,-1297,-106,263,-14
113,378,533,-176,-39,-154,-293,-958,105,263,35
764,-195,47,485,210,-354,418,-785,254,263,85
821,-86,-14,56,139,-292,343,545,378,263,135
470,403,320,-217,-33,-285,152,482,198,263,-135
535,473,464,-391,-128,83,-678,258,-58,263,-85
1159,691,556,-97,-167,620,-216,76,-307,263,-35
1288,498,366,445,-275,509,170,634,-402,263,14
958,447,268,228,236,27,-7,90,-346,263,64
921,609,282,16,-21,-34,-166,168,-150,263,114
873,634,370,12,48,-88,-316,393,69,263,-155
774,539,334,150,47,-10,-157,195,113,263,-105
700,390,194,140,35,190,-195,56,241,263,-55
319,376,72,23,44,313,-46,75,356,263,-5
-369,499,55,-488,-158,435,700,334,308,263,44
-298,172,52,-439,114,-17,153,-126,-8,263,94
201,-126,-191,107,254,-450,243,-181,-107,263,144
277,-270,-216,162,310,-577,2,354,-38,263,-125
-40,-298,-78,-4,177,-389,3,880,-81,263,-75
-249,-206,-86,-584,-205,106,507,679,-269,263,-25
-718,-278,-627,-32,-240,315,-155,-44,141,263,24
-173,-516,-876,-79,69,31,0,129,85,263,74
-346,-436,-840,-22,7,47,33,-269,-203,263,124
-338,-370,-667,-288,84,-105,114,-395,-334,263,-146
-405,-261,-500,-172,183,-166,154,-614,-225,263,-96
-233,-231,-367,-57,250,-191,150,-552,-67,263,-46
-122,-141,-284,17,203,-154,190,-540,50,263,3
61,4,-135,123,184,-147,-25,-914,111,263,53
-356,327,301,-722,-362,353,-589,-1400,498,263,103
126,310,452,-722,-282,182,-299,-652,722,263,153
543,-274,249,245,2,-236,46,-148,334,263,-116
508,-281,129,39,31,-390,229,762,276,263,-66
354,-116,164,-92,-24,-352,85,1200,34,263,-16
168,-90,170,-102,25,-188,-226,76,-496,263,33
130,695,457,-336,-117,311,-999,-433,-682,263,83
852,780,515,-19,253,984,-10,-165,-595,263,133
1062,500,234,457,88,324,466,436,-448,263,-136
