acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
-3,-146,86,-10,-38,-14,-42,-60,-46,263,49
-10,-139,75,8,-26,-17,-13,-8,-80,263,99
-12,-112,147,2,11,-68,5,80,-54,263,149
-19,-138,107,0,2,-50,-17,6,11,263,-121
-24,-162,66,11,-26,-5,-28,-11,36,263,-71
-14,-153,81,8,-33,-16,-38,-6,36,263,-21
1,-108,153,25,-30,-30,-38,-34,38,263,28
-28,-93,92,24,-43,-26,33,-107,20,263,78
-19,-132,65,9,11,-46,-28,-47,141,263,128
-9,-139,100,-30,19,-65,-71,-3,182,263,-141
14,-179,134,-28,-39,-70,-62,-79,131,263,-91
20,-198,151,-25,-82,-65,-29,-73,56,263,-41
7,-181,143,-34,-94,-79,21,-11,-78,263,8
21,-167,128,-28,-69,-95,51,53,-164,263,58
10,-145,136,-33,-43,-89,56,92,-227,263,108
-9,-156,115,-18,-7,-66,13,108,-248,263,158
-20,-141,110,-2,0,-45,-27,107,-247,263,-111
-13,-112,104,9,-9,-25,-60,122,-199,263,-61
-11,-85,83,18,-1,-14,-77,123,-160,263,-11
-25,-67,60,11,4,7,-61,115,-108,263,38
-23,-73,26,26,23,21,-47,78,-58,263,88
-40,-56,21,-14,10,39,3,17,-33,263,138
-18,-93,36,-18,25,2,-23,-27,-35,263,-132
-8,-128,44,-41,13,-34,-65,-47,-63,263,-82
-6,-158,31,-59,32,-88,-248,-8,-115,263,-32
20,-118,-22,-20,72,-109,-524,231,-182,263,17
-157,-21,23,-46,58,-20,-346,326,-127,263,67
-126,51,-20,44,26,285,-274,159,-74,263,117
-29,28,-78,64,68,56,-126,20,10,263,-152
-135,-5,-79,51,38,15,22,-294,87,263,-102
-86,-37,-76,4,25,-27,125,-543,309,263,-52
-1,-111,-17,-41,-1,-30,110,-429,330,263,-2
-8,-62,30,-57,26,-9,78,-285,327,263,47
-78,-24,75,-73,45,-65,90,-227,272,263,97
22,-111,41,-5,23,-136,146,-482,209,263,147
14,-135,36,-70,-27,-147,94,-523,82,263,-122
7,-167,99,-189,-94,-173,81,-315,-16,263,-72
29,-367,280,-55,-17,-256,77,-208,-135,263,-22
45,-108,45,-118,-39,-184,49,-121,-226,263,27
69,-66,22,-38,-3,-130,-36,128,-406,263,77
-124,12,68,-55,8,-23,-29,79,-404,263,127
-85,-48,210,-113,3,58,-9,267,-333,263,-143
12,-128,177,-36,-7,-73,74,306,-244,263,-93
84,-61,-26,234,86,-201,-109,10,-90,263,-43
-189,-24,-67,-34,25,-89,193,24,139,263,6
-84,14,-114,-82,-8,66,354,106,301,263,56
74,-37,-41,-44,318,399,263,226,148,263,106
-80,62,9,-38,18,103,262,69,-76,263,156
-17,75,17,15,-8,-14,93,-144,-33,263,-113
99,-34,68,75,-18,-99,81,-154,-17,263,-63
-18,-32,173,-41,-71,-72,3,-59,10,263,-13
13,-64,248,63,-12,9,24,149,41,263,36
35,-73,134,43,-9,-6,-41,142,119,263,86
29,-59,50,15,-34,-3,22,100,90,263,136
57,-41,30,37,-42,4,39,6,59,263,-133
33,-25,98,27,-61,-3,12,-67,23,263,-83
57,-34,190,28,-62,-42,5,-92,16,263,-33
69,-40,141,-1,-70,10,44,-154,-24,263,16
53,-4,107,4,-28,15,14,9,-75,263,66
38,-5,114,24,11,-50,-73,96,-61,263,116
21,-24,138,28,-6,-13,-68,68,-37,263,-153
20,-55,101,34,-39,32,-3,-9,-13,263,-103
20,-57,87,24,-47,12,-17,-7,-1,263,-53
37,25,276,-1,-52,29,3,90,-10,263,-3
42,115,280,85,-197,154,-133,-56,51,263,46
37,432,247,283,-476,-30,-236,-271,314,263,96
207,876,372,356,-670,-303,-376,-350,649,263,146
672,1134,279,534,-892,-446,-451,-396,809,263,-124
1159,1017,-7,837,-982,-522,-514,-80,545,263,-74
1433,768,-5,1169,-1175,-460,-549,248,128,263,-24
1916,619,295,1426,-1021,-549,-230,664,-483,263,25
2234,421,437,1740,-846,-623,-61,623,-740,263,75
2621,402,374,2006,-867,-647,-219,687,-846,263,125
2855,96,463,2107,-829,-637,-158,632,-804,263,-144
3087,711,109,1979,-596,-206,202,-21,-393,263,-94
3102,137,181,2097,-1110,-521,376,-33,56,263,-44
3204,165,243,2248,-895,-525,570,-61,315,263,5
3017,491,229,2402,-904,-749,727,-143,510,263,55
2860,124,695,2524,-915,-538,589,-206,601,263,105
2615,-8,824,2501,249,392,649,-287,349,263,155
2432,150,779,2654,-455,-24,473,-286,93,263,-114
2341,4,923,2492,-142,91,557,-457,-27,263,-64
2256,99,1011,2849,-332,-13,384,-474,-72,263,-14
2298,54,1006,2860,-298,63,324,-217,-98,263,35
2353,275,1106,2891,-57,450,374,-107,-147,263,85
2348,-10,929,2587,280,501,329,96,-174,263,135
2291,61,994,2461,399,807,127,209,-128,263,-135
2401,12,896,2431,210,751,-116,249,-75,263,-85
2454,143,959,2570,233,783,-603,219,-51,263,-35
2518,164,866,2607,-61,679,-216,149,-92,263,14
2538,160,826,2562,-43,628,-243,49,-100,263,64
2564,152,818,2549,-84,572,-214,50,-81,263,114
2598,172,814,2558,-102,576,-160,61,-58,263,-155
2604,172,776,2539,-112,541,-80,49,-57,263,-105
2628,193,776,2535,-105,550,-98,33,-58,263,-55
2641,196,762,2545,-173,536,-86,18,-47,263,-5
2656,203,776,2527,-145,541,-58,17,-37,263,44
2634,195,764,2540,-135,527,3,10,-20,263,94
2639,176,756,2506,-121,537,-8,44,10,263,144
2599,205,779,2581,-113,502,-28,26,68,263,-125
2601,213,774,2575,-127,512,15,-96,37,263,-75
2607,220,757,2567,-115,508,20,-142,11,263,-25
2614,227,757,2570,-137,508,10,-90,-13,263,24
2619,228,755,2566,-143,518,9,-12,-27,263,74
2615,228,748,2573,-147,498,-9,40,-31,263,124
2603,237,770,2649,-209,589,-10,57,-38,263,-146
2342,125,1076,2368,288,842,133,-15,-69,263,-96
2299,-268,819,2144,-51,400,158,-232,-52,263,-46
2297,-549,830,1878,-368,-229,-267,-274,-65,263,3
2291,-165,944,1728,-1037,-547,-373,-109,-112,263,53
2313,-64,796,1092,-1011,-273,-623,118,-90,263,103
1930,615,783,1112,-1109,-129,-639,221,-100,263,153
1629,548,743,711,-849,-21,-634,402,-41,263,-116
