acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
-2518,2394,761,-246,-1119,1120,-494,-150,-29,263,-158
2230,-273,-705,1826,1611,-51,2246,-318,-331,263,-108
1447,-968,-770,1605,696,-645,-2014,-412,31,263,-58
350,281,-136,1040,666,-417,232,-23,42,263,-8
-3477,2145,726,-3155,-2323,968,-736,192,68,263,41
1125,179,-479,1552,1846,-136,2596,658,-318,263,91
1584,-736,-683,1495,805,-633,-1350,260,158,263,141
1498,-725,-702,1621,1113,-523,623,206,45,263,-128
-4063,2327,1065,-3317,-2731,1254,411,393,-174,263,-78
145,456,267,1302,1231,486,2557,-114,-385,263,-28
1803,-411,-970,1303,1122,-946,-700,-104,86,263,21
1656,-769,-885,1358,1537,-437,-370,359,94,263,71
-3534,1914,830,-2011,-1841,1125,-1118,527,200,263,121
-1900,1310,820,-2371,-2292,1716,-1119,-395,-13,263,-149
2158,-332,-641,1735,1254,-627,308,-660,-91,263,-99
1582,-811,-754,1473,1089,-729,-479,-101,108,263,-49
-956,890,259,288,-148,187,-362,126,282,263,0
-3550,2165,958,-3113,-2561,1481,-560,142,43,263,50
1919,-244,-534,2190,1144,-208,2511,-10,-458,263,100
1494,-567,-774,1458,1077,-972,-1745,-102,152,263,150
1018,-339,-395,1521,930,-470,-650,-41,227,263,-119
-3691,2152,799,-2756,-2147,1277,-1332,475,17,263,-69
327,544,80,-306,-714,1495,2187,361,-478,263,-19
1822,-497,-719,1371,1163,-1137,-928,175,230,263,30
1484,-845,-788,1385,1317,-494,-821,281,308,263,80
-3511,2151,784,-2544,-2165,1447,-269,901,198,263,130
-1032,816,316,-1781,-1790,1694,-500,-16,-104,263,-139
2008,-310,-763,1492,965,-896,2554,-743,-27,263,-89
1616,-818,-845,1418,1221,-723,-2152,-308,427,263,-39
-2283,1549,598,-1519,-1170,800,-419,430,194,263,10
-2572,2193,751,-2554,-2576,1296,-168,-536,-166,263,60
2073,-460,-666,1578,649,462,1695,-220,-213,263,110
1691,-512,-642,1478,1059,-911,-816,726,140,263,160
36,231,-34,975,419,-218,-61,240,232,263,-110
-3957,2001,889,-3319,-2477,991,-426,-405,225,263,-60
1442,-306,-455,628,363,623,1384,-451,-76,263,-10
1775,-462,-585,1537,782,-887,-862,216,134,263,39
1617,-730,-787,1415,1116,-432,-37,-156,-9,263,89
