acc1x,acc1y,acc1z,acc2x,acc2y,acc2z,acc3x,acc3y,acc3z,curr,volt
3545,1083,-494,3833,-381,-888,-247,-32,43,263,86
1928,-3086,96,1781,3286,112,-197,-2,51,263,136
1918,-4703,-82,1249,4623,-23,-159,27,96,263,-133
2038,-1815,-459,1901,2201,-446,-50,36,68,263,-83
1113,837,-530,1232,-736,-924,-112,125,43,263,-33
713,1864,116,1063,-1573,160,-266,-3,-4,263,16
631,1853,899,893,-1717,516,-288,32,-27,263,66
336,1300,810,416,-1068,977,-159,-118,-82,263,116
145,722,573,124,-477,513,-142,-65,-137,263,-153
33,735,238,196,-726,430,-605,127,-16,263,-103
-154,327,548,-43,314,1392,-317,-366,-160,263,-53
-147,-264,152,36,-24,-40,723,161,-143,263,-3
-20,41,-329,56,-34,-186,68,147,-53,263,46
-32,144,-279,147,-120,-176,135,54,-45,263,96
25,144,-171,167,-100,0,-69,-58,52,263,146
22,156,-53,140,-185,197,-162,-76,83,263,-124
44,134,-23,144,-141,280,-76,-29,90,263,-74
35,117,-65,125,-136,176,-10,33,77,263,-24
-3,-14,237,86,-136,99,65,17,25,263,25
131,427,1398,248,7,1487,69,-1,-28,263,75
326,1542,1573,465,-595,2204,414,-149,-72,263,125
-46,2900,1063,42,-2294,1753,-168,90,45,263,-144
-863,4514,616,-1803,-4005,-800,115,-459,-60,263,-94
-2699,-7197,-1356,-5668,5765,-1419,1369,207,-453,263,-44
2959,417,-1473,1415,2470,572,-592,172,2,263,5
2407,529,-2029,1786,-2166,-2771,-151,-250,-173,263,55
1109,-6434,446,1396,2922,-860,455,262,50,263,105
1892,366,-899,1697,142,-1127,286,125,-44,263,155
1760,804,-754,1635,-424,-697,-398,-157,22,263,-114
879,1064,-13,954,-922,5,-256,-215,56,263,-64
-15,1353,149,0,-1282,674,-308,-120,119,263,-14
-844,1028,428,-712,-918,787,-368,185,58,263,35
204,918,4725,644,-789,4727,-2071,1040,98,263,85
16,1300,1349,342,-1453,1405,-33,-1161,-233,263,135
-810,1755,729,-297,-1551,570,3242,58,-215,263,-135
-28,1727,269,81,-1611,148,-910,-4,-11,263,-85
1332,713,119,1403,-490,191,537,-42,-51,263,-35
2264,-304,-271,2240,763,-305,215,-99,-4,263,14
2633,-896,-221,2504,1536,-314,388,70,0,263,64
2755,-1363,-127,2494,1994,-292,153,183,-12,263,114
2662,-2042,136,2365,2994,557,-38,162,4,263,-155
2827,-3204,333,2575,3183,678,-215,58,9,263,-105
3105,-1797,-56,2942,2042,-76,80,37,-37,263,-55
3416,-942,-175,3352,1407,-294,-70,30,12,263,-5
3527,-793,-432,3539,1156,-586,9,-59,-3,263,44
3347,-426,-830,3293,1142,-954,29,-73,-21,263,94
3088,-270,-681,3080,970,-996,67,15,-18,263,144
3122,505,-731,3045,418,-1227,-41,24,-13,263,-125
3334,2396,-882,3446,-1378,-1957,-147,-113,-45,263,-75
3481,1692,-791,3566,-593,-1504,-36,-177,-43,263,-25
3167,344,-440,3284,304,-902,117,-108,-17,263,24
3335,-251,-268,3328,801,-590,74,-37,-2,263,74
3356,-660,-273,3283,1153,-516,79,22,-1,263,124
3201,-1059,-238,2891,1716,-200,70,76,3,263,-146
2736,-2816,155,2377,2892,532,64,89,5,263,-96
2684,-3314,97,2180,3527,637,-4,97,21,263,-46
3113,-1920,-129,2743,2383,-52,12,105,22,263,3
3277,-985,-198,3064,1644,-258,62,46,7,263,53
3335,-524,-342,3236,837,-621,-11,12,3,263,103
3153,37,-307,3117,337,-465,7,-60,-21,263,153
2899,350,-89,2892,-71,-376,-84,-112,-5,263,-116
2548,576,-24,2519,-363,-157,-86,-143,-35,263,-66
2124,763,113,1838,-641,7,-163,-182,-39,263,-16
1573,784,304,1441,-829,40,-93,-79,-28,263,33
1121,805,549,1034,-836,384,-190,-70,-14,263,83
624,779,538,559,-673,684,-133,21,-11,263,133
241,584,565,281,-501,758,-208,66,-18,263,-136
51,424,468,219,-454,408,-675,539,-19,263,-86
-29,545,314,156,-629,487,-521,79,-12,263,-36
47,-527,1909,37,-2,801,-326,-511,-158,263,13
-98,403,955,110,-319,827,910,66,-132,263,63
-49,1330,865,290,-1180,807,633,-113,-1,263,113
232,1438,204,493,-1400,370,139,-116,-8,263,-157
1390,1227,502,1610,-1292,694,246,134,62,263,-107
1842,837,500,1895,-894,734,246,133,205,263,-57
2390,412,201,2331,-74,481,723,122,115,263,-7
2764,178,-51,2686,626,-454,268,-45,45,263,42
2617,-705,-648,2480,1420,-1015,293,30,-24,263,92
935,-3576,-1380,511,3141,-723,164,166,-6,263,142
981,-5120,-1625,-112,5161,-820,198,221,14,263,-127
1809,-1765,-690,1973,950,-375,-4,173,-22,263,-77
3078,2506,-1345,3521,-1419,-1701,-257,-113,60,263,-27
3965,2757,-1486,4446,-1515,-2517,-283,-253,-64,263,22
3212,1431,-868,3340,-546,-1684,54,-122,-109,263,72
2408,-989,-801,2040,1501,-645,-28,11,-131,263,122
2187,-4251,-1329,955,5005,-704,-229,-164,-88,263,-147
2320,-2272,-1043,1771,2945,-809,-329,-85,27,263,-97
1980,-612,-991,2054,1447,-946,-102,-28,24,263,-47
1472,502,-804,1646,347,-1056,-138,45,46,263,2
917,1036,-242,626,-1232,140,-332,78,22,263,52
-471,1625,1300,-418,-1857,1200,-525,146,101,263,102
-756,1473,1434,-833,-1521,1613,-426,194,-7,263,152
-15,1340,2136,-355,-1953,2773,-1288,820,186,263,-118
263,795,2242,417,-1156,1684,-1139,-1141,-343,263,-68
-95,1610,2331,-422,-1851,2570,2945,-486,49,263,-18
-753,2011,1535,-662,-2156,1676,-1091,-185,-114,263,31
-93,1727,718,218,-1584,663,847,-301,-233,263,81
673,981,-495,978,-1050,-340,1561,360,-51,263,131
88,-320,-1011,-344,1589,-1044,534,-142,72,263,-138
1820,-5820,-943,34,6729,-1515,357,177,-27,263,-88
1795,-2568,-801,744,3303,-800,-300,216,12,263,-38
1821,1243,-1102,1774,8,-613,-3,-165,-10,263,11
3552,4469,-1822,3958,-3198,-2327,-496,-269,-44,263,61
3165,2667,-1144,2969,-1271,-1666,-52,15,60,263,111
2065,-1553,-925,1604,1175,-802,-75,59,97,263,-158
2495,-4635,-990,1490,4814,-1404,-199,-66,209,263,-108
2291,-2795,-1034,1727,3230,-1172,-324,14,117,263,-58
2191,-1185,-1071,1971,1174,-1008,-501,19,145,263,-8
1582,-206,-939,1247,-56,-788,-469,-102,-24,263,41
269,1431,-265,310,-1051,-122,-557,576,10,263,91
-352,3184,533,-691,-1817,984,-569,-71,-81,263,141
-878,1119,2761,-1277,-1447,1812,-1100,114,-62,263,-128
-103,-239,1621,1037,-1117,3090,-2170,1113,435,263,-78
-95,-370,2060,-27,-408,616,1027,-84,-252,263,-28
-295,1294,2176,201,-1470,1708,1243,-232,-216,263,21
-766,1955,1768,317,-2416,1945,384,-405,-206,263,71
-313,2091,654,545,-2351,281,311,-336,-63,263,121
729,1511,-30,947,-794,-570,1343,-208,148,263,-149
883,-1766,-1206,167,1778,-1029,743,185,374,263,-99
1315,-5257,-1898,-256,4823,-1579,678,-236,58,263,-49
1864,-2707,-1186,931,3297,-1187,-452,190,164,263,0
2251,665,-546,3037,-1020,-1004,-239,-344,-41,263,50
3770,3893,-885,4643,-3167,-2046,-639,213,134,263,100
2830,1816,-989,3528,-1670,-1832,-93,113,-15,263,150
2437,-370,-1060,2327,263,-1317,255,-35,-54,263,-119
2460,-2675,-1047,1679,4218,-1088,54,211,-153,263,-69
2516,-3973,-1256,1750,3463,-903,-175,171,-171,263,-19
1876,-1191,-1152,2054,1851,-1093,-171,-650,-196,263,30
897,262,-623,1832,614,-979,-380,-710,-19,263,80
161,1221,44,1134,-627,-785,-347,967,145,263,130
-967,1453,337,-1073,-1352,435,-1028,-28,-239,263,-139
-1176,-376,3875,-1812,-2050,2068,-585,-284,-423,263,-89
-22,-821,3719,1901,-2795,6512,-859,1131,669,263,-39
-803,1811,1945,-32,-2176,2156,614,-1357,-441,263,10
-806,2082,228,-690,-2661,200,580,-289,-93,263,60
